country,year,xVXa,xSES,xRISK,xHIV,xTB,xtype,xcause,yVXa,ySES,yRISK,yHIV,yTB,ytype,ycause,fn,age_from,age_thru,value,lo,hi,err,name,type
IND,2019.5,all,all,all,all,Ds,stock,NA,all,all,all,all,"Ds,Dc",stock,NA,x/y,0,99,0.504,0.361,0.797,0.218,TB_subclinpr_0_99,ratio
IND,2019.5,all,high,all,all,"Ds, Dc",stock,NA,all,low,all,all,"Ds, Dc",stock,NA,x/y,0,99,0.427,0.327,0.527,0.1,TB_prr_0_99,ratio
IND,2015.5,all,all,all,all,"Ds, Dc",stock,NA,all,all,all,all,all,stock,NA,1e5*x/y,0,99,325.1433989,217.5291338,545.7956984,164.1332823,TB_prev_0_99,prev
IND,2000.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs, TBtr_RDs",all,all,all,all,all,stock,NA,1e5*x/y,0,99,289,149,473,162,TB_inci_0_99,inci
IND,2019.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs, TBtr_RDs",all,all,all,all,all,stock,NA,1e5*x/y,0,99,193,132,266,67,TB_inci_0_99,inci
IND,2019.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs, TBtr_RDs",all,all,all,all,all,stock,NA,1e5*x/y,0,14,92,56,128,36,TB_inci_0_14,inci
IND,2019.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs, TBtr_RDs",all,all,all,all,all,stock,NA,1e5*x/y,15,99,229,140,320,90,TB_inci_15_99,inci
IND,2000.5,all,all,all,all,TBdead,inflow,"TBp,TBtr_died",all,all,all,all,all,stock,NA,1e5*x/y,0,99,67,57,79,11,TB_deaths_0_99,inci
IND,2019.5,all,all,all,all,TBdead,inflow,"TBp,TBtr_died",all,all,all,all,all,stock,NA,1e5*x/y,0,99,33,30,35,2.5,TB_deaths_0_99,inci
IND,2000.5,all,all,all,all,T,inflow,TBtr_init,all,all,all,all,all,stock,NA,1e5*x/y,0,99,177,142,212,35,TB_notif_0_99,inci
IND,2019.5,all,all,all,all,T,inflow,TBtr_init,all,all,all,all,all,stock,NA,1e5*x/y,0,99,190,152,228,38,TB_notif_0_99,inci
IND,2019.5,all,all,all,all,T,inflow,TBtr_init,all,all,all,all,all,stock,NA,1e5*x/y,0,14,48,38,58,10,TB_notif_0_14,inci
IND,2019.5,all,all,all,all,T,inflow,TBtr_init,all,all,all,all,all,stock,NA,1e5*x/y,15,99,242,194,291,48.5,TB_notif_15_99,inci
IND,2019.5,all,all,all,all,Ds,inflow,TBtr_RDs,all,all,all,all,all,stock,NA,1e5*x/y,0,99,1,0,2,-1,RD,inci
IND,2019.5,all,all,all,all,R,inflow,"TBtr_died,TBtr_nodeadreported, TBtr_nodeadnotreported",all,all,all,all,all,stock,NA,1e5*x/y,0,99,1,0,2,-1,TR,inci
IND,2019.5,all,all,all,all,Ds,inflow,TBtr_RDs,all,all,all,all,R,inflow,"TBtr_died,TBtr_nodeadreported, TBtr_nodeadnotreported",x*y,0,99,1,0,2,-1,RD*TR_keep,inci
IND,2019.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs,TBtr_RDs",all,all,all,all,all,stock,NA,1e5*x/y,0,99,1,0,2,-1,RD+LsD+LfD,inci
IND,2019.5,all,all,all,all,R,inflow,TBp,all,all,all,all,all,stock,NA,1e5*x/y,0,99,1,0,2,-1,DcR+DsR,inci
IND,2019.5,all,all,all,all,Ds,inflow,TBtr_LfLsDs,all,all,all,all,all,stock,NA,1e5*x/y,0,99,1,0,2,-1,LsD+LfD,inci
IND,2019.5,all,all,all,all,Ds,inflow,"Tm,TBp, TBtr_LfLsDs,TBtr_RDs",all,all,all,all,R,inflow,"TBtr_died,TBtr_nodeadreported, TBtr_nodeadnotreported",x*y,0,99,1,0,2,-1,TR*(RD+LsD+LfD),inci
IND,2019.5,all,all,all,all,R,inflow,TBp,all,all,all,all,Ds,inflow,TBtr_LfLsDs,x*y,0,99,1,0,2,-1,(DcR+DsR)*(LsD+LfD),inci
IND,2019.5,all,all,all,all,Ds,inflow,TBtr_RDs,all,all,all,all,R,inflow,"TBtr_died,TBtr_nodeadreported, TBtr_nodeadnotreported",x*y,0,99,1,0,2,-1,RD*TR,inci
