Country,CountryCode,Number
ZAF,ZAF,1
ZAF,ZAF,2
ZAF,ZAF,3
ZAF,ZAF,4
ZAF,ZAF,5
ZAF,ZAF,6
ZAF,ZAF,7
ZAF,ZAF,8
ZAF,ZAF,9
ZAF,ZAF,10
ZAF,ZAF,11
ZAF,ZAF,12
ZAF,ZAF,13
ZAF,ZAF,14
ZAF,ZAF,15
ZAF,ZAF,16
ZAF,ZAF,17
ZAF,ZAF,18
ZAF,ZAF,19
ZAF,ZAF,20
ZAF,ZAF,21
ZAF,ZAF,22
ZAF,ZAF,23
ZAF,ZAF,24
ZAF,ZAF,25
ZAF,ZAF,26
ZAF,ZAF,27
ZAF,ZAF,28
ZAF,ZAF,29
ZAF,ZAF,30
ZAF,ZAF,31
ZAF,ZAF,32
ZAF,ZAF,33
ZAF,ZAF,34
ZAF,ZAF,35
ZAF,ZAF,36
ZAF,ZAF,37
ZAF,ZAF,38
ZAF,ZAF,39
ZAF,ZAF,40
ZAF,ZAF,41
ZAF,ZAF,42
ZAF,ZAF,43
ZAF,ZAF,44
ZAF,ZAF,45
ZAF,ZAF,46
ZAF,ZAF,47
ZAF,ZAF,48
ZAF,ZAF,49
ZAF,ZAF,50
